month,half,actual_kWh,전월지속성_kWh,전년동월_kWh,계절평균_kWh,선형회귀_kWh,Ridge_kWh,LightGBM_kWh,GBHuber_kWh
2025-06-01,상반기,20083.059204545454,19758.930375,,18707.861104166663,0.0,0.0,20194.758340252814,20174.57595261491
2025-07-01,하반기,21196.49425,20083.059204545454,,18904.31797564935,41938.31669356978,21648.505012317102,20078.27800775811,20271.742457209737
2025-08-01,하반기,15976.775802845528,21196.49425,,19190.840009943182,24636.9200137922,19330.18244043302,20245.547246489852,20721.346653410485
2025-09-01,하반기,10973.52025,15976.775802845528,17018.072,17018.072,12014.717443777326,13275.327771351198,19047.786340699757,19156.02698897671
2025-10-01,하반기,12345.693166666666,10973.52025,16387.81408333333,16387.81408333333,12441.770611681859,12036.633256062782,14943.273865719108,14175.000249295788
2025-11-01,하반기,15301.704890604575,12345.693166666666,15246.574499999999,15246.574499999999,12356.163952035226,13633.224338756827,15865.376308133222,15534.525602368369
2025-12-01,하반기,15193.894404761904,15301.704890604575,14069.424083333333,14069.424083333333,13840.579551935693,14641.051714941534,13335.795828027967,15453.567540117145
2026-01-01,상반기,17086.39383333333,15193.894404761904,15176.486833333332,15176.486833333332,15290.1346859031,15153.51944703368,15542.900681303758,15530.749752276868
2026-02-01,상반기,18693.191104166664,17086.39383333333,16628.630833333333,16628.630833333333,16865.93428553807,18321.53859304404,19857.04012994959,20167.428819843728
2026-03-01,상반기,24074.019625,18693.191104166664,21699.712125,21699.712125,21195.027140637907,20614.333152898314,20701.199344738292,21520.045587758137
2026-04-01,상반기,19767.940416666665,24074.019625,24913.982375,24913.982375,22967.915120045614,23751.959708805916,22024.461973939306,19603.44117962385
2026-05-01,상반기,22839.992208333333,19767.940416666665,19758.930375,19758.930375,20805.53690794811,19495.73717208901,20061.863229113875,19272.40251120157
2026-06-01,상반기,20468.573125,22839.992208333333,20083.059204545454,20083.059204545454,21206.194701174645,21329.93262492248,20145.011443101714,20322.830001810475
2026-07-01,하반기,17967.542458333333,20468.573125,21196.49425,21196.49425,18866.23845174152,18215.83862369773,20323.54235681842,20421.134114437413
