comparison,model,n,MAE_kWh,RMSE_kWh,WAPE_pct
전월지속성,전월지속성,14,2659.088497977525,3153.5759880108944,14.774543415211841
전월지속성,GBHuber,14,2012.8876148280797,2972.5915624197796,11.184093902041704
전년동월,전년동월,11,2677.8743321200936,3222.643617023353,15.128264941985975
전년동월,GBHuber,11,2038.1442923789489,3020.1401925331065,11.514202319081225
계절평균,계절평균,14,2595.575445367723,3067.2835972227313,14.421649423932548
계절평균,GBHuber,14,2012.8876148280797,2972.5915624197796,11.184093902041704
선형회귀,선형회귀,14,4878.172308072708,8240.735736538101,27.104313604952285
선형회귀,GBHuber,14,2012.8876148280797,2972.5915624197796,11.184093902041704
Ridge,Ridge,14,3065.915045804834,5775.35290952437,17.03497081276066
Ridge,GBHuber,14,2012.8876148280797,2972.5915624197796,11.184093902041704
LightGBM,LightGBM,14,2313.3341557541453,3032.8545986779773,12.85344806841812
LightGBM,GBHuber,14,2012.8876148280797,2972.5915624197796,11.184093902041704
GBHuber,GBHuber,14,2012.8876148280797,2972.5915624197796,11.184093902041704
