month,half,actual_kWh,전월지속성_kWh,전년동월_kWh,계절평균_kWh,선형회귀_kWh,Ridge_kWh,LightGBM_kWh,GBHuber_kWh
2025-06-01,상반기,88477.75045325383,83616.18726379509,,66821.45920091029,29565.661749941122,35158.94947730101,83335.6830269423,82376.67647973695
2025-07-01,하반기,94893.96266615822,88477.75045325383,,69915.21509410223,99282.32782733781,75786.49656936908,85717.89116797321,85162.62355040049
2025-08-01,하반기,86964.098875,94893.96266615822,,73037.55854060923,56352.122348620964,86179.30567022752,87366.08329688701,88285.35669949165
2025-09-01,하반기,61487.95179166666,86964.098875,77029.85622916666,77029.85622916666,56285.80115213257,70079.73629135887,87019.43996383522,87906.25307292059
2025-10-01,하반기,58510.01183333333,61487.95179166666,59529.0969375,59529.0969375,50700.67327065906,50226.473491263576,81860.78071419467,64028.021318308296
2025-11-01,하반기,57650.98091666666,58510.01183333333,51075.73016666666,51075.73016666666,48962.98605038058,52675.4485599442,79530.41617333902,60496.26899276848
2025-12-01,하반기,45524.61645833333,57650.98091666666,40930.943138888884,40930.943138888884,46450.36474959325,55308.668047283034,58648.4557272005,59997.680034363475
2026-01-01,상반기,47062.71233333333,45524.61645833333,50163.912625,50163.912625,45292.675903962874,49766.792821048584,48027.1698663582,49927.76847419793
2026-02-01,상반기,59249.22816666667,47062.71233333333,52403.90179166666,52403.90179166666,52464.20806120063,53279.682510018305,54093.297144359196,54751.96336571146
2026-03-01,상반기,86081.66654166667,59249.22816666667,80859.58041666666,80859.58041666666,78461.15816988211,74416.5199524991,65209.16468874186,73356.73339175913
2026-04-01,상반기,79787.57612499999,86081.66654166667,92954.22996944444,92954.22996944444,81630.04517280684,90646.81902905478,89743.49132711865,85678.6627124901
2026-05-01,상반기,94154.28316256133,79787.57612499999,83616.18726379509,83616.18726379509,84459.63004061421,83470.80513954768,87323.83715550843,85330.46328957519
2026-06-01,상반기,91816.40319307042,94154.28316256133,88477.75045325383,88477.75045325383,94548.58019402101,96067.37747244131,84167.94532958585,83881.42272421972
2026-07-01,하반기,81710.83862757731,91816.40319307042,94893.96266615822,94893.96266615822,93292.38647951378,87680.02865480394,87070.84561851971,86132.09508550429
