comparison,model,n,MAE_kWh,RMSE_kWh,WAPE_pct
전월지속성,전월지속성,14,9593.45812019524,12414.958663678874,12.9971010571535
전월지속성,GBHuber,14,8111.909343650599,10229.656029407912,10.989916689577301
전년동월,전년동월,11,7556.822993125997,8842.175817564781,10.893984504432321
전년동월,GBHuber,11,8764.823627031103,11001.546535353527,12.63544916478992
계절평균,계절평균,14,10263.330863084018,12383.47433314784,13.90463654911861
계절평균,GBHuber,14,8111.909343650599,10229.656029407912,10.989916689577301
선형회귀,선형회귀,14,11326.005334277696,18779.911690763423,15.344335072833049
선형회귀,GBHuber,14,8111.909343650599,10229.656029407912,10.989916689577301
Ridge,Ridge,14,11210.544645153264,16767.975636418407,15.187910327357818
Ridge,GBHuber,14,8111.909343650599,10229.656029407912,10.989916689577301
LightGBM,LightGBM,14,11099.526528343475,13771.196224601195,15.037504325134885
LightGBM,GBHuber,14,8111.909343650599,10229.656029407912,10.989916689577301
GBHuber,GBHuber,14,8111.909343650599,10229.656029407912,10.989916689577301
